"Carimbo de data/hora","Unidade","Setor","Local","Item","Marca","Modelo","Nº. Série","Problema","Situação do Equipamento","Tasy","Quantidade","Nome do Analista","Cargo do Analista"
"2025/10/01 1:09:56 PM GMT-3","Quality Gold","Administrativo","Campo Grande","Computador","Dell","OPTIPLEX 3070","NT","Solicitação de compra","Solicitação de compra","56697 - COMPUTADOR SEMINOVO DELL OPTIPLEX 3020/7020 CORE 15 -  WIN 10PRO","5","Marcus Vinicius de Oliveira","Analista de TI"
"2025/10/01 1:17:02 PM GMT-3","Quality Gold","Administrativo","Campo Grande","Computador","","","NT","","Solicitação de compra","56697 - COMPUTADOR SEMINOVO DELL OPTIPLEX 3020/7020 CORE 15 -  WIN 10PRO","5","Marcus Vinicius de Oliveira","Técnico Responsável"
"2025/10/07 12:43:19 PM GMT-3","Operadora","DEREG - OPME - Auditoria","Campo Grande","Memória","","","","Solicitação de compra","Solicitação de compra","56581 - 16 GB DE MEMÓRIA TOTAL DO SISTEMA (16 GB X 1) DDR4","11","Marcus Vinicius de Oliveira","Analista de TI"
"2025/10/07 1:03:38 PM GMT-3","Operadora","Juridico","Campo Grande","Monitor","","","","","Solicitação de compra","54850 - MONITOR DELL 21.5"" P2219H","3","Marcus Vinicius de Oliveira","Analista de TI"
"2025/10/14 10:36:26 AM GMT-3","WorkMed","Contabilidade","Campo Grande","Nobreak","","","NT","","Solicitação de compra","56580 - SSD 512 GB M.2 2280 PCIe NVMe
56582 - 32 GB DE MEMÓRIA TOTAL DO SISTEMA (16 GB X 2) DDR4","1
2","Tulio Maravilha","Analista de TI"
"2025/10/15 12:38:56 PM GMT-3","Operadora","Juridico","Campo Grande","","","","NT","","Solicitação de compra","54850 - MONITOR DELL 21.5"" P2219H","4","Marcus Vinicius de Oliveira","Analista de TI"
"2025/10/15 12:40:43 PM GMT-3","Operadora","Juridico","Campo Grande","Monitor","","","NT","","Solicitação de compra","54850 - MONITOR DELL 21.5"" P2219H","4","Marcus Vinicius de Oliveira","Analista de TI"
"2025/10/15 4:18:29 PM GMT-3","Operadora","DEREG - OPME - Auditoria","Campo Grande","Memória;Teclado","","","NT","Olá,

Foi verificado que os computadores operam com performance abaixo do necessário, ocasionando lentidão, travamentos e telas piscando.

Se faz necessária a compra de um novo módulo de memória para cada computador do setor.
","Solicitação de compra","56581 - 16 GB DE MEMÓRIA TOTAL DO SISTEMA (16 GB X 1) DDR4
56699 - TECLADO LOGITECH MK120","11
1","Marcus Vinicius de Oliveira","Analista de TI"
"2025/10/16 8:15:19 AM GMT-3","Operadora","DEREG - OPME - Auditoria","Campo Grande","Memória;Teclado","","","NT","Verificado que os computadores operam com performance
abaixo do necessário","Solicitação de compra","56581 - 16 GB DE MEMÓRIA TOTAL DO SISTEMA (16 GB X 1) DDR4
56699 - TECLADO LOGITECH MK120","11
1","Marcus Vinicius de Oliveira","Analista de TI"
"2025/10/21 10:58:24 AM GMT-3","Operadora","Call Center","Campo Grande","Computador","","","NT","","Solicitação de compra","53007 - COMPUTADOR HP PRODESK 400 G5 SFF I5 8500 - 8GB DDR4","1","Marcus Vinicius de Oliveira","Analista de TI"
