cd_material,ds_material,classe,tipo,classificacao
61278,NVD HD INTELBRAS 16 CANAIS,Materiais de Informática,Materiais de Informática,CFTV
62970,FONTE INTELBRAS 12V,Materiais de Informática,Materiais de Informática,CFTV
53348,CAMERA DOME VIP 1020 D G2,Materiais de Informática,Materiais de Informática,CFTV
65557,FONTE 12V DC,Equipamentos de Informática,Equipamentos de Informática,CFTV
60425,INTELBRAS 1130 DOME ( INTERNO) VIP,Materiais de Informática,Materiais de Informática,CFTV
64756,CÂMERA TV IP BULLET VIP 1230B G4,Equipamentos de Informática,Equipamentos de Informática,CFTV
60426,INTELBRAS 1130 BULLET VIP ( EXTERNO),Materiais de Informática,Materiais de Informática,CFTV
56704,ADAPTADOR WIRELLESS DUAL BAND USB AC 600MBPS DWA-171 D LINK,Equipamentos de Informática,Equipamentos de Informática,Cabos
53729,CABO ADAPTADOR CONVERSOR DISPLAYPORT PARA VGA,Equipamentos de Informática,Equipamentos de Informática,Cabos
56788,Adaptador HDMI X VGA,Equipamentos de Informática,Equipamentos de Informática,Cabos
62965,EXTENSÃO DE AUDIO INTELBRAS 1010,Materiais de Informática,Materiais de Informática,Cabos
54888,CABO P2 X P2 - 3MT,Materiais de Informática,Materiais de Informática,Cabos
56703,CABO VGA,Materiais de Informática,Materiais de Informática,Cabos
59084,CABO DISPLAY PORT,Equipamentos de Informática,Equipamentos de Informática,Cabos
54267,CABO DE REDE CAT 5E SOHO PLUS,Materiais de Informática,Materiais de Informática,Cabos
61544,CABO ADAPTADOR CONVERSOR DISPLAYPORT PARA HDMI - (DISPLAYPORT M X HDMI F),Equipamentos de Informática,Equipamentos de Informática,Cabos
55997,CABO USB DE 3 METROS,Materiais de Informática,Materiais de Informática,Cabos
57312,UNIDADE USB FINA DE DVD +/- RW DA DELL - DW316,Equipamentos de Informática,Equipamentos de Informática,Cabos
53435,EXTENSÃO DE ÁUDIO 1010 EA,Materiais de Informática,Materiais de Informática,Cabos
65692,CABO HDMI 1.4 25M,Materiais de Informática,Materiais de Informática,Cabos
56702,CABO FORÇA ENERGIA PADRÃO NOVO,Materiais de Informática,Materiais de Informática,Cabos
66007,Câmera Webcam Logitech C920e Full  Hd 30fps Cor Preto,Equipamentos de Informática,Equipamentos de Informática,Câmera
65172,CAMERA MODELO VIP 1230 D G5,Equipamentos de Informática,Equipamentos de Informática,Câmera
62969,CAMERAS INTELBRAS VIP 1130 G4,Materiais de Informática,Materiais de Informática,Câmera
65149,CAMERA WEBCAM LOGITECH FULL HD C92OS,Equipamentos de Informática,Equipamentos de Informática,Câmera
55847,HEAD SET AVAYA,Equipamentos de Informática,Equipamentos de Informática,Fone - Headset
61802,ALMOFADA HEADSET ( MICROFONE),Materiais de Informática,Materiais de Informática,Fone - Headset
65453,HEADSET INTELBRAS THS 40 R19 - REF: 4245,Equipamentos de Informática,Equipamentos de Informática,Fone - Headset
59202,HEADSET JABRA - ENVOLVE 20 MONO MS,Equipamentos de Informática,Equipamentos de Informática,Fone - Headset
56040,HEADSET INTELBRAS CHS 55 ,Equipamentos de Informática,Equipamentos de Informática,Fone - Headset
61801,ALMOFADA HEADSET (FONE),Materiais de Informática,Materiais de Informática,Fone - Headset
58101, HEADSET JABRA -ENVOLVE 20MONO MS,Equipamentos de Informática,Equipamentos de Informática,Fone - Headset
64747,FONTE DE ALIMENTAÇÃO AVAYA - IN 100-240V ~ 50/60HZ 0.5A - OUT 5V2.0A,Materiais de Informática,Materiais de Informática,Fonte
55639,FONTE CARREGADOR NOTEBOOK 20V 2.25A  MOD: PA-1450-55LB,Equipamentos de Informática,Equipamentos de Informática,Fonte
62049,Fonte P.O.E,Equipamentos de Informática,Equipamentos de Informática,Fonte
53433,FONTE COM BATERIA,Materiais de Informática,Materiais de Informática,Fonte
53349,FONTE DE ALIMENTACAO 12V EX INTELBRAS,Materiais de Informática,Materiais de Informática,Fonte
65726,FONTE P/ MÁQUINA DELL 65W - MODELO: LA65NS2-01	,Materiais de Informática,Materiais de Informática,Fonte
61422,CARREGADOR PARA NOTEBOOK LENOVO B330-15IKBR 81M1,Equipamentos de Informática,Equipamentos de Informática,Fonte
59487,FONTE PARA DELL 19.5V 65W / MODELO:LA65NS2-01 / PLUG FINO,Materiais de Informática,Materiais de Informática,Fonte
66047,FONTE AVAYA 1600,Equipamentos de Informática,Equipamentos de Informática,Fonte
61255,FONTE REAL 500W AEROCOL,Materiais de Informática,Materiais de Informática,Fonte
60814,FONTE PARA COMPUTADOR OPTIPLEX 3020 MODELO: D255AS-00,Equipamentos de Informática,Equipamentos de Informática,Fonte
53480,FONTE DE ALIMENTAÇÃO: 850W,Equipamentos de Informática,Equipamentos de Informática,Fonte
56670,BANDEJA DE PAPEL 1 + DOBRADIÇA ADF - RICOH - MODELO: SP 3510SF,Equipamentos de Informática,Equipamentos de Informática,Impressora
56673,BOTÃO POWER - RICOH - MODELO: SP 377DN,Equipamentos de Informática,Equipamentos de Informática,Impressora
56666,TAMPA DO ADF - RICOH - MODELO: SP 377SFNWX,Equipamentos de Informática,Equipamentos de Informática,Impressora
56657,TAMPA ADF - BROTHER - MODELO: DCP-8157DN,Equipamentos de Informática,Equipamentos de Informática,Impressora
56658,TAMPA LATERAL D - RICOH - MODELO: SP 3510DN,Equipamentos de Informática,Equipamentos de Informática,Impressora
56659,BANDEJA DE PAPEL 1 - RICOH - MODELO: SP 3510DN,Equipamentos de Informática,Equipamentos de Informática,Impressora
56665,BANDEJA DE PAPEL 1 + TAMPA DO ADF - RICOH - MODELO: SP 377SFNWX,Equipamentos de Informática,Equipamentos de Informática,Impressora
56660,BANDEJA DE PAPEL + TAMPA LATERAL DIREITA - RICOH - MODELO: SP 3510DN,Equipamentos de Informática,Equipamentos de Informática,Impressora
56661,BOTÃO POWER  - RICOH - MODELO: SP 377DNWX,Equipamentos de Informática,Equipamentos de Informática,Impressora
56664,BANDEJA DE PAPEL 1 - RICOH - MODELO: SP 377SFNWX,Equipamentos de Informática,Equipamentos de Informática,Impressora
56656,ADF POR COMPLETO  - RICOH - MODELO: SP 3510SF,Equipamentos de Informática,Equipamentos de Informática,Impressora
56662,BANDEJA DE PAPEL 1 - RICOH - MODELO: SP 377DNWX,Equipamentos de Informática,Equipamentos de Informática,Impressora
56785,MULTIFUNCIONAL RICOH LASER MONOCROMÁTICA A4 SP3710SF - 408266,Equipamentos de Informática,Equipamentos de Informática,Impressora
61201,"CARTAO DE PVC CR80 ULTRA - CRACHA/CARTEIRINHA (8,6CM X 5,5CM)",Equipamentos de Informática,Equipamentos de Informática,Impressora
58173,IMPRESSORA CANON IR 1643P,Equipamentos de Informática,Equipamentos de Informática,Impressora
65386,CABEÇA DE IMPR. P/IMPRESSORA ZEBRA,Materiais de Informática,Materiais de Informática,Impressora
65153,IMPRESSORA EPSON - ECOTANK L1250,Equipamentos de Informática,Equipamentos de Informática,Impressora
64026,IMPRESSORA DE PVC ZEBRA ZXP3,Materiais de Informática,Materiais de Informática,Impressora
63755, Impressora de Cartões Datacard Entrust SD260,Equipamentos de Informática,Equipamentos de Informática,Impressora
61199,IMPRESSORA FARGO HID DTC 1500 S1 SIMPLES,Equipamentos de Informática,Equipamentos de Informática,Impressora
87467,PRINTER SERVER D LINK 301P,Materiais de Informática,Materiais de Informática,Impressora
56671,ADF POR COMPLETO + BANDEJA PAPEL 1 - RICOH - MODELO: SP 3510SF,Equipamentos de Informática,Equipamentos de Informática,Impressora
61611,"CARTÃO DE PVC CR80 ULTRA(8,6CNX5,5CM) ESPESSURA 0,76MM(500 UNIDADES)",Equipamentos de Informática,Equipamentos de Informática,Impressora
59412,IMPRESSORA DE CARTÃO PVC ,Equipamentos de Informática,Equipamentos de Informática,Impressora
56672,IMPRESSORA - RICOH - MODELO: SP 3510SF,Equipamentos de Informática,Equipamentos de Informática,Impressora
57187,MEMORIA 32GB - 2RX4 DDR4 LRDIMM 2666MHZ,Equipamentos de Informática,Equipamentos de Informática,Memória
59016,MEMORIA PC UDIM DDR4 2666 8GB,Equipamentos de Informática,Equipamentos de Informática,Memória
59717,MEMORIA DDR3 - 8G,Equipamentos de Informática,Equipamentos de Informática,Memória
56700,MOUSE LOGITECH MK120,Materiais de Informática,Materiais de Informática,Memória
59004,MEMORIA RAM 4GB DDR3,Equipamentos de Informática,Equipamentos de Informática,Memória
58094, MEMORIA U DIMM DE 8GB,Equipamentos de Informática,Equipamentos de Informática,Memória
57186,MEMORIA 64GB - 4RX4 DDR4 LRDIMM 2666MHZ,Equipamentos de Informática,Equipamentos de Informática,Memória
57687,MEMORIA RAM: 4GB DDR4 (2666),Equipamentos de Informática,Equipamentos de Informática,Memória
56581,16 GB DE MEMÓRIA TOTAL DO SISTEMA (16 GB X 1) DDR4,Materiais de Informática,Materiais de Informática,Memória
